"Candidate","Claim","Claim category","Source title","Source URL","Publication date","Access date","Direct quote or concise paraphrase","Source quality","Confidence","Notes"
"Robin Barton","Banksy publicly disassociated himself from an exhibition of removed murals, and Pest Control stated it would not authenticate removed works.","Risk/reputation","Street Artist Banksy Calls Exhibition in London 'Disgusting'","https://www.nbcnews.com/news/world/street-artist-banksy-calls-exhibition-london-disgusting-n89196","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Banksy disassociated himself from an exhibition of his urban murals removed from walls and due to be auctioned; Pest Control had not authenticated the street works in the show and warned of serious implications of selling unauthenticated works.","Major international news organisation","High","DECISIVE EXCLUSION EVIDENCE. The business model is structurally incompatible with ArtLife's Pest Control-anchored, authentication-led positioning. Corroborated by NPR and East Hampton Star coverage of the same dispute."
"Gareth Williams","Pioneered the Urban Art auction format at Bonhams and is credited with setting Banksy world records.","Banksy-direct","Bonhams announce appointment of Gareth Williams as Head of Contemporary Art and Modern Design","https://www.bonhams.com/press_release/11354/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: joined Bonhams in 1995 and launched the Urban Art auctions; best known for promoting Banksy's work, for whom he established a number of world records in his Urban Art sales.","Primary (employer press release)","Medium-High","Corroborated independently by Artforum's report of the same appointment. Joining date of 1995 places him well outside the 'rising' career stage."
"Gareth Williams","Ran a Bonhams Urban Art sale in which 16 of 17 Banksy lots sold for a total of GBP 400,175.","Sales performance","Banksy GBP 400,000 triumph at Bonhams Urban Art Sale","https://www.bonhams.com/press_release/9965/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: 17 Banksy works were in the sale and all but one found buyers, totalling GBP 400,175; the works came from private collectors, mostly UK, purchased at galleries or exhibitions Banksy organised.","Primary (employer press release)","Medium-High","A rare instance of a specific, numerically precise Banksy sale result tied to a named individual's sale series. Undated on the record collected."
"Steve Lazarides","Was Banksy's agent, dealer, photographer and manager over roughly eleven years from 1997.","Banksy-direct","Banksy's former agent quits gallery world citing snobbery and the death of subculture","https://www.theartnewspaper.com/2019/09/09/banksys-former-agent-quits-gallery-world-citing-snobbery-and-the-death-of-subculture","2019-09-09","2026-09-17","Paraphrase: commissioned to photograph Banksy in 1997, he went on over eleven years to act as manager, driver, photographer, dealer, spokesperson and from 2004 gallerist.","Highly authoritative art-market publication","High","The Art Newspaper is a primary-tier art-market source. Establishes the historic relationship unambiguously."
"Steve Lazarides","Publicly quit the commercial gallery world in 2019.","Risk/reputation","Banksy's longtime agent, Steve Lazarides, is stepping away from the gallery world","https://www.artsy.net/article/artsy-editorial-banksys-longtime-agent-steve-lazarides-stepping-gallery","2019","2026-09-17","Paraphrase: announced his retirement from the traditional gallery world in 2019, leaving Lazinc to co-founder Wissam Al Mana, citing art-world snobbery and a money-driven agenda.","Reputable art-market publication","High","A stated exit from exactly the activity ArtLife needs. Decisive against recruitment; relevant instead as a potential referee or relationship."
"Lawrence Alkin","Founded the gallery that states it was the first to sell Banksy prints - over 6,000 - and staged an early urban art show including Banksy in 2004.","Banksy-direct","Enter Gallery's History","https://entergallery.com/pages/enter-gallerys-history","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: the gallery was the first to sell Banksy prints - over 6,000 - and in 2004 held one of the first urban art gallery shows, 'Pop', including Banksy, James Cauty and Jamie Reid.","Primary (subject's own site)","Low-Medium","Self-published historical claim; the 'first to sell' assertion is not independently corroborated and the 6,000 figure is unaudited."
"Lawrence Alkin","Reports indicate Enter Gallery, Brighton's oldest independent gallery, is closing.","Risk/reputation","Enter Gallery, Brighton's oldest independent art gallery, to close its doors","https://www.scenemag.co.uk/enter-gallery-brightons-oldest-independent-art-gallery-to-close-its-doors/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Enter Gallery, described as Brighton's oldest independent art gallery, is to close.","Independent regional press","Medium","Materially changes his availability and situation - could make him more available, or signal commercial difficulty. Must be verified directly before drawing either conclusion."
"Market context","Pest Control Office is the only body authorised to authenticate Banksy works and was established by Banksy.","Provenance/authentication","Pest Control: Verifying Banksy Prints for Buyers and Sellers","https://www.myartbroker.com/artist-banksy/guides/how-to-verify-banksy-prints-with-pest-control","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Pest Control Office is the only organisation authorised to authenticate genuine Banksy artworks and is run by Banksy.","Trade source (dealer guide)","High","Uncontested across every independent source reviewed (ArtLife, Andipa, Guy Hepner, GraffitiStreet all state the same). Foundational to candidate assessment: no candidate has or should be described as having a Pest Control relationship."
"Market context","A prominent Hong Kong Banksy dispute illustrates counterparty risk in Banksy private sales.","Risk/reputation","Hong Kong Heiress Sues Prominent Art Dealer Pearl Lam Over Missing Banksy Painting","https://www.artnews.com/art-news/news/hong-kong-heiress-sues-art-dealer-banksy-painting-1234662087/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: Karen Lo alleges dealer Pearl Lam falsely claimed to have acquired a Banksy painting for her after she paid over USD 600,000 for services; the work was never delivered.","Reputable art-market publication","Medium-High","Included as market-risk context, not as a candidate assessment. Pearl Lam was excluded from the longlist on the basis of this unresolved litigation."
"Market context","Banksy no longer sells directly, making the secondary market the sole acquisition channel and provenance decisive.","Company context","How Does Banksy Stay Anonymous and Make Money? | ArtLife","https://artlife.com/news/how-does-banksy-stay-anonymous-and-make-money/","Not established (page not opened - see limitations)","2026-09-17","Paraphrase: since Banksy no longer sells directly to the public, the secondary market remains the sole channel for acquisition, making provenance, condition and authenticity critical to long-term value.","Primary (ArtLife's own site)","High","ArtLife's own stated market thesis - useful for framing outreach messaging to candidates."
