company,url,segment,legal_model,business_model,founded,hq,founders_leadership,target_market,geography_availability,partners,celebrity_involvement,funding_or_disclosed_performance,customer_promise,positioning,key_products,displayed_price_examples,traffic_proxy,social_audience,review_signal,advertising_visibility,regulatory_or_risk_notes,within_segment_rank,rank_methodology,evidence_confidence,primary_source_url,access_date,research_file
AlphaMD,https://www.alphamd.org,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"$49 initial consult; TRT $129/mo men, $119/mo women (incl. follow-ups and shipped meds); 'from $98/mo'; veterans 20% off; $49 per additional lab test; ED and weight loss; peptides pending FDA compounding clearance",unknown,unknown,unknown,Men (and women) seeking affordable TRT; veterans,US; state list not verified,unknown,unknown,unknown,"Affordable, transparent TRT",Budget TRT with stated intent to add peptides once lawful to compound (six reviewed July 2026),TRT (men); HRT (women); Peptides (planned),$119/mo; $129/mo (from $98/mo promo),no public estimate found,unknown,unknown,not checked,none observed,19,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://vikingalternative.com/viking-vs-alphamd-trt-2026/,2026-09-02,research/01_telehealth_companies.json
Mito Health,https://mitohealth.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,Longevity lab-testing membership (core package = one comprehensive test/yr; additional tests purchasable); AI-assisted biomarker explanation and cheapest-lab finder; results in ~1 week with follow-up care,unknown,unknown,unknown,Longevity consumers comparing against Function/Superpower/Lifeforce,US (details not verified),unknown,unknown,unknown,"Comprehensive panels, explained",Diagnostics-first; publishes peptide-for-longevity content but no verified peptide prescribing,Mito Health membership; Peptide therapy (content only),,no public estimate found,unknown,unknown,not checked,Peptides 'extending lifespan' framing in blog,25,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://mitohealth.com/how-it-works,2026-09-02,research/01_telehealth_companies.json
BodyLogicMD,https://www.bodylogicmd.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Network of affiliated BHRT physicians (e.g., Nashville affiliate) offering bioidentical hormones, sermorelin peptide therapy, weight-loss peptides",unknown,unknown,unknown,"Peri/post-menopausal women and andropausal men, 40+",Multiple US metros via affiliates; telehealth availability not verified,unknown,unknown,unknown,Bioidentical hormone balance,Legacy BHRT franchise/network; sermorelin via local affiliates,Sermorelin peptide therapy; BHRT,,no public estimate found,unknown,unknown,not checked,none observed,22,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.bodylogicmd.com/blog/boost-your-weight-loss-with-peptides/,2026-09-02,research/01_telehealth_companies.json
Limitless Male Medical Clinic,https://limitlessmale.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"16+ clinics across 8 states; TRT, ED, weight loss, peptide therapy; upfront pricing, no insurance; 'TRT 4 Life' program",2016,"Omaha, NE (inferred from 'Voted #1 in Omaha' page; not confirmed)",unknown,Midwest men,"8 states, 16+ clinics (company)",unknown,unknown,100K+ men treated (company); Google 4.9/5 (company-cited),Midwest's #1 men's health clinic,Regional brick-and-mortar men's clinic with peptide menu,Peptide therapy; TRT,,no public estimate found,unknown,Google 4.9/5 (company-cited; count not retrievable),Has dedicated PPC landing page (limitlessmale.com/mens-health-experts-ppc/) - implies paid search,'Anti-aging' peptide claims,21,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://limitlessmale.com/,2026-09-02,research/01_telehealth_companies.json
Craft Men's Clinic (formerly Craft Medical; Craft Health),https://craftmedical.com / https://www.crafttelemed.com,Telehealth/clinician-led,Prescription telehealth via licensed clinicians; compounded or approved drugs dispensed by pharmacies,"Men-only video telehealth: TRT, premature ejaculation, ED, genital herpes; meds shipped or picked up at local compounding pharmacy; follow-ups at 6 weeks then every 90 days; rebranded to Craft Men's Clinic Jan 2024 under Craft Health",unknown,"Tulsa, OK (5711 E 71st St, Ste 100-H)",unknown,"Men (Texas/Oklahoma regional pages, e.g., Austin)",Regional pages (Austin) - national reach not verified,Local compounding pharmacies (pickup option),unknown,Crunchbase profile exists; details not retrievable,Personalized TRT for optimal health,Small regional men's telehealth; NO peptides identified,TRT,,no public estimate found,unknown,Trustpilot page exists for crafttelemed.com (rating not retrievable),not checked,none observed,27,"Proxy scorecard weighted to disclosed funding/performance, formulary breadth, pricing evidence and review signals (traffic/ads/social not retrievable). See research/01_telehealth_companies.md.",Medium,https://www.prnewswire.com/news-releases/craft-medical-evolves-to-craft-mens-clinic-reflecting-its-dedication-to-mens-health-302039913.html,2026-09-02,research/01_telehealth_companies.json
"Empower Pharmacy (Empower Clinic Services, LLC / Empower Pharma 503B)",https://www.empowerpharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,Dual 503A patient-specific compounding pharmacy + FDA-registered 503B outsourcing facility (Empower Pharma). Sells to prescribers/clinics/telehealth platforms; patients receive Rx-only compounded products via prescriber.,2009 (widely reported; not re-verified this session),"Houston, TX (Verified via FDA warning letters)",Founder/CEO Shaun Noorian (widely reported; not re-verified this session),"Telehealth platforms, weight-management clinics, hormone/wellness clinics, prescribers.",Multi-state licensed mail-order (state list not retrieved).,Named as a supplier in Eli Lilly's compounded-tirzepatide litigation (FiercePharma).,None found,Private; no figures found. Enforcement record is the main public disclosure.,"Large-scale, quality-controlled compounded medications for providers (company-reported positioning).",Scale leader in GLP-1/peptide/hormone compounding for telehealth; heavily scrutinized by FDA and Lilly.,"Compounded semaglutide / tirzepatide injections (via prescriber); Compounded peptide/hormone injectables (e.g., sermorelin, NAD+; menu per prescriber portal)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Third-party GLP-1 review listings exist (bariatricreports.org); ratings not retrieved.,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A + 503B. FDA Warning Letters: 2017-05-25 (516718, Empower Clinic Services), 2021-10-15 (613792, dba Empower Pharmacy), 2025-04-02 (700962 dba Empower Pharma and 700964 dba Empower Pharmacy). Form 483 issued 2024-08-28 after Aug 2024 Houston inspection; products recalled; 2025 letter cited sterile-production deficiencies and 503B labeling omissions (missing side-effect reporting/directions). Named in Lilly compounded-tirzepatide lawsuit. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Cate",10,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/empower-clinic-services-llc-dba-empower-pharmacy-700964-04022025,2026-09-02,research/02_pharmacy_ruo_consumer.json
Olympia Pharmaceuticals (Olympia Pharmacy),https://www.olympiapharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,503A compounding pharmacy + FDA-registered 503B outsourcing facility serving prescribers/clinics; publishes regulatory education blog on peptides.,Not verified this session,"Orlando, FL (widely reported; not re-verified this session)",Not verified this session,Wellness/anti-aging/weight-loss clinics and prescribers.,Multi-state (list not retrieved).,Not verified this session,None found,None disclosed / not found,Quality-assured 503A/503B compounding (company-reported).,Established dual-model compounder positioning itself as a compliance-forward peptide/GLP-1 supplier; actively publishes on FDA peptide policy.,Compounded peptides / GLP-1s for prescribers (menu not retrieved),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A + 503B (company-reported). No FDA warning letter to Olympia found in searches this session. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutide from t",3,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.olympiapharmacy.com/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Tailor Made Compounding, LLC",https://www.tailormadecompounding.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,503A compounding pharmacy historically known for peptide catalog; current operating status/ownership not verified this session.,Not verified this session,"Nicholasville, KY (Verified via FDA/DOJ)",Founder Jeremy Delk (Verified via DOJ),Anti-aging/peptide clinics and telehealth.,Not retrieved.,Not verified this session,None found,None disclosed / not found,Custom compounded therapies (company-reported).,Formerly a leading peptide compounder; now defined by 2020 FDA warning letter and federal guilty plea.,"Historical peptide catalog (BPC-157, CJC-1295, Ipamorelin, Epitalon, Selank, Semax, etc.)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA inspection 2018-08-20 to 2018-10-24; Warning Letter 2020-04-01 (594743) re sterile practices. Company and founder pleaded guilty to distributing unapproved new drugs (Oct 2018-Apr 2020) incl. BPC-157, Cerebrolysin, CJC-1295, DSIP, Epitalon, GW-501516, Ipamorelin, LGD-4033, LL-37, Melanotan II, MK-677, PEG-MGF, Selank, Semax; sentenced to 3 yrs probation, forfeited $1,788,906.82; Delk: 3 yrs probation incl. 4 months home incarceration, 100 hrs community service, $20,000 fine. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed ",14,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tailor-made-compounding-llc-594743-04012020,2026-09-02,research/02_pharmacy_ruo_consumer.json
Hallandale Pharmacy (PharmCore Inc. dba),https://www.hallandalepharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,503A patient-specific compounding pharmacy; major fulfillment partner for GLP-1/peptide telehealth brands.,Not verified this session,"Hallandale Beach, FL (Verified via FDA letter address)",Not verified this session,Telehealth weight-loss and peptide programs; prescribers.,Multi-state mail order (list not retrieved).,Not verified this session,None found,None disclosed / not found,Compounded semaglutide/peptides via telehealth partners (third-party descriptions).,High-volume 503A telehealth fulfillment pharmacy with a closed-out 2020 warning letter; frequently reviewed by GLP-1 comparison sites.,Compounded semaglutide (via telehealth partners); Compounded peptides (BPC-157 and others per third-party descriptions),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Multiple third-party review pages (ivyrx, healthrx, bariatricreports); ratings not retrieved.",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A. Form 483 2018-07-13; Warning Letter 2020-03-11 (605569) citing lack of valid patient-specific prescriptions for a portion of products and insanitary sterile conditions; Warning Letter close-out May 2022. Third-party sites note BPC-157 and other catalog peptides were not on the 503A approved bulks list. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not E",8,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pharmcore-inc-dba-hallandale-pharmacy-605569-03112020,2026-09-02,research/02_pharmacy_ruo_consumer.json
Belmar Pharma Solutions (Belmar Pharmacy / Belmar Select Outsourcing),https://www.belmarpharmasolutions.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"Six 503A compounding pharmacies plus two FDA-registered 503B outsourcing facilities (Belmar Select Outsourcing); sells to clinicians; hormone pellets, testosterone blends, sermorelin, NAD+, injectable peptides.",Not verified this session,"Golden / Lakewood, CO (Verified via company facility pages)",Not verified this session,Hormone/anti-aging clinicians; office-use buyers (503B).,Multi-state (list not retrieved).,Not verified this session,None found,None disclosed / not found,Clinician-partner compounding with 503A and 503B options (company-reported).,Hormone-first compounder with peptide line; clean public enforcement record in this session's searches.,"Sermorelin / NAD+ / injectable peptides (503A, per company pages); Hormone pellet implants (503B, Belmar Select Outsourcing)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A + 503B (company-reported). No FDA warning letter to Belmar found in searches this session. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutide from th",1,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.belmarpharmasolutions.com/discover/about-belmar/belmar-503b-outsourcing-facility/,2026-09-02,research/02_pharmacy_ruo_consumer.json
Strive Pharmacy,https://www.strivepharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,Compounding pharmacy network supplying telehealth GLP-1/wellness programs (third-party descriptions); 503A/503B mix not verified this session.,Not verified this session,Not verified this session,Not verified this session,Telehealth weight-loss platforms; prescribers.,Multi-state (not verified).,Not verified this session,None found,None disclosed / not found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Telehealth-oriented compounder; limited verifiable public record in this session.,Compounded GLP-1s / peptides for telehealth (details not retrieved),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"No Strive-specific FDA warning letter surfaced in searches this session (absence not proof). Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutide from the 5",9,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.pharmacytimes.com/view/fda-moves-to-permanently-close-the-door-on-compounded-glp-1s,2026-09-02,research/02_pharmacy_ruo_consumer.json
Red Rock Pharmacy,https://www.redrockpharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"PCAB-accredited, LegitScript-certified 503A compounding pharmacy filling telehealth-prescribed GLP-1 and peptide injectables.",Not verified this session,Utah (sources cite South Jordan HQ; also Springville and St. George locations) -- Third-party,Not verified this session,Telehealth weight-loss programs; prescribers.,Multi-state mail order (list not retrieved).,Not verified this session,None found,None disclosed / not found,Patient-specific compounding to USP 795/797/800 standards (third-party descriptions).,Accredited mid-size 503A GLP-1/peptide fulfillment pharmacy frequently reviewed by GLP-1 comparison sites.,"Semaglutide, high-dose semaglutide, tirzepatide, tirzepatide/semaglutide combo; Sermorelin, NAD+, glutathione, GAC, vitamins",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"Listed on glpwinner, bariatricreports, tirzepatidereview; ratings not retrieved.",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A; PCAB, LegitScript, USP claims (third-party). No FDA warning letter found in searches this session. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutid",4,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://tirzepatidereview.com/pharmacies/redrock,2026-09-02,research/02_pharmacy_ruo_consumer.json
ReviveRx (Revive Rx LLC dba Revive Rx Pharmacy),https://reviverx.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"Licensed 503A mail-order compounding pharmacy for providers/telehealth: hormones, weight management, peptides; ~3-day turnaround, direct-to-patient delivery (company-reported).",Not verified this session,"Houston, TX (Verified via FDA letter)",Not verified this session,Telehealth platforms; men's health/HRT and weight-loss clinics.,Multi-state mail order (list not retrieved).,Not verified this session,None found,None disclosed / not found,"Custom formulations, dependable fulfillment, partnership approach (company-reported).",Telehealth-focused 503A with a fresh (Sept 2025) FDA warning letter over biologics compounding.,"BPC-157, CJC-1295/Ipamorelin, NAD+ injectables; Semaglutide / tirzepatide; HCG / Thymosin beta-4 (cited by FDA as biologics)",Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Facebook/TikTok presence; peptideassociation.org directory listing.,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A. FDA Warning Letter 2025-09-22 (709509): investigator noted production of biological products incl. HCG and Thymosin beta-4 (TB-500), which are ineligible for 503A/503B exemptions (PHS Act s.351); 503A compliance issues. Fills semaglutide, tirzepatide, BPC-157, CJC/Ipamorelin, NAD+, HRT/TRT for telehealth (third-party). Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon",11,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/revive-rx-llc-dba-revive-rx-pharmacy-709509-09222025,2026-09-02,research/02_pharmacy_ruo_consumer.json
Wells Pharmacy Network,https://wellsrx.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"Privately held nationwide compounder: 20,500 sq ft 503A pharmacy + 20,000 sq ft FDA-registered 503B outsourcing facility; wellness, anti-aging, weight management, sexual wellness, aesthetic derm, thyroid/adrenal.",Not verified this session,"Ocala, FL (Verified via site title)",Not verified this session,Anti-aging/functional-medicine prescribers (A4M ecosystem).,Nationwide (company-reported).,A4M company spotlight.,None found,None disclosed / not found,In-house sterility and endotoxin testing; flexibility of 503A+503B (company-reported).,A4M-aligned dual-model compounder emphasizing testing infrastructure.,Compounded peptides / weight-management / hormones (menu not retrieved),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A + 503B (company-reported). No FDA warning letter found in searches this session. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semaglutide, tirzepatide and liraglutide from the 503B bul",2,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://wellsrx.com/,2026-09-02,research/02_pharmacy_ruo_consumer.json
"ProRx, LLC (ProRx Pharmacy Network)",https://prorxpharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,503B outsourcing facility (per FDA letter cGMP citations) producing compounded semaglutide/tirzepatide for distribution.,Not verified this session,"Exton, PA per FDA warning letter (user brief said Brooksville; FDA address controls) -- Verified",Not verified this session,"Clinics/telehealth in TX, UT and other states (recall distribution TX/UT).",Multi-state distribution.,Not verified this session,None found,None disclosed / not found,,GLP-1-focused 503B under active FDA enforcement.,Compounded semaglutide / tirzepatide injections,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA Warning Letter 696742 posted 2025-03-04 (issued Jan 2025 per Endpoints) citing cGMP violations/adulteration: flying insects in sterile areas, inadequate gowning, mislabeling, failure to report adverse events. Class II recall of compounded semaglutide injections initiated 2025-10-15 (lack of sterility assurance; distributed TX/UT). Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c",13,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prorx-llc-696742-03042025,2026-09-02,research/02_pharmacy_ruo_consumer.json
"Boothwyn Pharmacy, LLC",https://www.boothwynpharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,503A compounding pharmacy producing sterile GLP-1 and other compounded products for telehealth/prescribers.,Not verified this session,"Kennett Square, PA (221 Gale Lane) -- Verified via FDA letter",Not verified this session,Telehealth GLP-1 programs; prescribers.,Multi-state (not retrieved).,Not verified this session,None found,None disclosed / not found,,GLP-1-heavy 503A with repeat FDA enforcement (2018 and 2026).,Compounded GLP-1 injections,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"FDA Warning Letters 2018-07-25 (560524) and 2026-01-16 (717525; posted 2026-02-10) after inspection 2025-05-12 to 2025-06-09 citing insanitary conditions/serious deficiencies for sterile GLP-1 products; voluntary recall 2025-07-09 of all lots with OOS results; ceased sterile GLP-1 production, notified FDA 2025-08-20 of intent to resume. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS",12,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/boothwyn-pharmacy-llc-717525-01162026,2026-09-02,research/02_pharmacy_ruo_consumer.json
Foothills Professional Pharmacy (Foothills Compounding Pharmacy),https://foothillspharmacy.com/,Compounding pharmacy,503A/503B pharmacy; dispenses only on prescription,"Full-service 503A compounding pharmacy licensed in all 50 states (company-reported): dermatology, hair restoration, HRT, wellness, weight management, telemedicine fulfillment.",Not verified this session,Not verified this session,Not verified this session,Telemedicine brands; derm/HRT/weight-loss prescribers.,50 states (company-reported).,Not verified this session,None found,None disclosed / not found,Formulation team co-designs custom compounds with prescribers (company-reported).,Telemedicine fulfillment 503A with a 2020 FDA warning-letter history.,Compounded GLP-1s / peptides / HRT (menu not retrieved),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),no public estimate found,Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),Not retrieved this session (direct site fetch egress-blocked; search budget exhausted),"503A. FDA Warning Letters 598883 dated 2020-09-09 and 2020-09-22 (Foothills Professional Pharmacy Ltd). Listed as 503A on PeptideBase. Context (verified 2026-09-02): FDA placed BPC-157 on the 503A Category 2 list 2023-09-29; on 2026-04-15 FDA removed BPC-157 and 11 other peptides from Category 2 (removal is not approval); PCAC met 2026-07-23/24 and voted to recommend BPC-157, KPV, TB-500, MOTS-c, Epitalon and Semax (not Emideltide) for the 503A bulks list -- advisory only, rulemaking pending; FDA declared the semaglutide shortage resolved Feb 2025 and on 2026-04-30 proposed excluding semagluti",7,"Ranked on enforcement record 2018-2026, verified 503A/503B footprint and testing infrastructure, peptide/GLP-1 menu breadth, resilience to 2026 rule changes. See research/02_pharmacy_ruo_consumer.md.",Medium-High,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/foothills-professional-pharmacy-ltd-598883-09092020,2026-09-02,research/02_pharmacy_ruo_consumer.json
